State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Madhya Pradesh,Indore,Indore,Wheat,Mill Quality,FAQ,26/12/2024,2791,3039,2986,1
Madhya Pradesh,Sehore,Sehore,Wheat,Mill Quality,FAQ,26/12/2024,2911,2911,2911,1
Madhya Pradesh,Guna,Guna,Wheat,Wheat,FAQ,26/12/2024,2945,3705,3705,1
Madhya Pradesh,Mandla,Mandla,Wheat,Mill Quality,FAQ,26/12/2024,2700,2705,2700,1
Madhya Pradesh,Ratlam,Sailana,Cotton,Without Ginned Cotton,FAQ,26/12/2024,7700,8500,8300,15
Madhya Pradesh,Badwani,Sendhwa,Maize,Deshi Red,FAQ,26/12/2024,2275,2280,2280,4
Madhya Pradesh,Indore,Indore,Kabuli Chana(Chickpeas-White),Dollar Gram,FAQ,26/12/2024,9400,12415,11490,362
Madhya Pradesh,Sehore,Nasrullaganj,Maize,Local,FAQ,26/12/2024,2126,2147,2147,4
Madhya Pradesh,Badwani,Anjad,Cotton,Without Ginned Cotton,FAQ,26/12/2024,5400,5500,5500,15
Madhya Pradesh,Gwalior,Lashkar,Paddy(Dhan)(Common),Dhan,FAQ,26/12/2024,2550,2610,2610,2
Madhya Pradesh,Hoshangabad,Pipariya,Paddy(Dhan)(Common),Paddy,FAQ,26/12/2024,2640,2950,2950,2
Madhya Pradesh,Jabalpur,Paatan,Paddy(Dhan)(Common),Dhan,FAQ,26/12/2024,2250,2250,2250,2
Madhya Pradesh,Mandla,Bichhiya,Paddy(Dhan)(Common),Common,FAQ,26/12/2024,2101,2120,2120,2
Madhya Pradesh,Raisen,Bareli,Paddy(Dhan)(Common),Paddy,FAQ,26/12/2024,2950,3201,3201,2
Madhya Pradesh,Mandla,Nainpur,Maize,Yellow,FAQ,26/12/2024,2100,2140,2140,4
Madhya Pradesh,Katni,Katni,Bengal Gram(Gram)(Whole),Gram,FAQ,26/12/2024,5651,5750,5750,6
Madhya Pradesh,Jabalpur,Shahpura(Jabalpur),Kodo Millet(Varagu),Kondo,FAQ,26/12/2024,2200,2200,2200,117
Madhya Pradesh,Ujjain,Ujjain,Onion,Onion,FAQ,26/12/2024,1298,1741,1741,23
Madhya Pradesh,Khandwa,Harsood,Maize,Local,FAQ,26/12/2024,2100,2100,2100,4
Uttar Pradesh,Gonda,Gonda,Cauliflower,Cauliflower,FAQ,26/12/2024,2250,2400,2275,34
Tamil Nadu,Theni,Andipatti(Uzhavar Sandhai ),Mango (Raw-Ripe),Mango - Raw-Ripe,Local,26/12/2024,5000,6800,6800,172
