State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Tamil Nadu,Vellore,Ammoor,Paddy(Dhan)(Common),ADT 36,FAQ,26/02/2024,0,2252,2252,2
Tamil Nadu,Vellore,Ammoor,Paddy(Dhan)(Common),Common,FAQ,26/02/2024,1919,2279,2097,2
Uttar Pradesh,Farukhabad,Kayamganj,Rice,III,FAQ,26/02/2024,2800,2900,2850,3
Uttar Pradesh,Fatehpur,Bindki,Rice,Fine,FAQ,26/02/2024,5500,5700,5600,3
Uttar Pradesh,Fatehpur,Fatehpur,Rice,III,FAQ,26/02/2024,2580,2800,2665,3
Chattisgarh,Rajnandgaon,Rajnandgaon,Wheat,Deshi,FAQ,26/02/2024,2230,2475,2352,1
Haryana,Rohtak,Sampla,Apple,Other,Large,26/02/2024,7000,7000,7000,17
Tamil Nadu,Coimbatore,Thiruppur,Maize,Local,FAQ,26/02/2024,1700,2200,2000,4
Tamil Nadu,Erode,Alangeyam,Maize,Other,FAQ,26/02/2024,2252,2266,2262,4
Maharashtra,Chattrapati Sambhajinagar,Sillod,Soyabean,Other,FAQ,26/02/2024,4300,4350,4350,13
Jammu and Kashmir,Anantnag,Kulgam,Orange,Orange,Large,26/02/2024,3600,4000,3800,18
Jammu and Kashmir,Srinagar,Parimpore,Orange,Other,Large,26/02/2024,5600,5800,5700,18
Meghalaya,East Khasi Hills,Shillong,Orange,Orange,Large,26/02/2024,6000,7500,7000,18
Punjab,Bhatinda,Bhagta Bhai Ka,Orange,Other,Medium,26/02/2024,2100,2100,2100,18
Tamil Nadu,Villupuram,Kallakurichi,Maize,Other,FAQ,26/02/2024,2200,2289,2245,4
Tamil Nadu,Villupuram,Thirukovilur,Paddy(Dhan)(Common),ADT 39,FAQ,26/02/2024,1760,1888,1760,2
Tamil Nadu,Villupuram,Thirukovilur,Paddy(Dhan)(Common),ADT 43,FAQ,26/02/2024,1852,1947,1852,2
Tamil Nadu,Villupuram,Thirukovilur,Paddy(Dhan)(Common),B P T,FAQ,26/02/2024,2492,2812,2492,2
Telangana,Mahbubnagar,Nagarkurnool(Talkapalli),Maize,Local,FAQ,26/02/2024,2090,2090,2090,4
Uttar Pradesh,Jalaun (Orai),Orai,Rice,Coarse,FAQ,26/02/2024,2500,2700,2600,3
