State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Uttar Pradesh,Fatehpur,Bindki,Rice,Fine(Basmati),FAQ,26/01/2024,6500,8500,6950,3
Haryana,Mahendragarh-Narnaul,Narnaul,Apple,Apple,Medium,26/01/2024,5000,7000,7000,17
Kerala,Idukki,Adimali,Orange,Orange,Large,26/01/2024,8000,8000,8000,18
Uttar Pradesh,Ghaziabad,Hapur,Rice,III,FAQ,26/01/2024,3000,3100,3020,3
Uttar Pradesh,Gonda,Nawabganj,Rice,III,FAQ,26/01/2024,2660,2750,2700,3
Meghalaya,East Jaintia Hills,Khliehriat,Orange,Other,Medium,26/01/2024,13000,15000,14000,18
Uttar Pradesh,Amethi,Sultanpur,Orange,Orange,Medium,26/01/2024,2470,2650,2550,18
Uttar Pradesh,Kanpur,Varipaal,Rice,III,FAQ,26/01/2024,2500,2520,2510,3
Uttar Pradesh,Bulandshahar,Siyana,Maize,Yellow,FAQ,26/01/2024,2160,2300,2200,4
Telangana,Karimnagar,Pudur,Paddy(Dhan)(Common),MTU-1010,FAQ,26/01/2024,2203,2203,2203,2
Telangana,Karimnagar,Vemulawada,Paddy(Dhan)(Common),I.R. 64,FAQ,26/01/2024,2183,2203,2200,2
Telangana,Khammam,Burgampadu,Paddy(Dhan)(Common),Samba Masuri,FAQ,26/01/2024,2203,2203,2203,2
Haryana,Kurukshetra,Shahabad,Apple,Apple,Medium,26/01/2024,6000,6660,6500,17
Uttar Pradesh,Bulandshahar,Khurja,Rice,Other,FAQ,26/01/2024,2910,3155,3050,3
Punjab,Barnala,Barnala,Orange,Other,Large,26/01/2024,10000,10000,10000,18
Uttar Pradesh,Jaunpur,Jaunpur,Rice,III,FAQ,26/01/2024,2700,2760,2720,3
Himachal Pradesh,Mandi,Dhanotu (Mandi),Apple,Royal Delicious,Large,26/01/2024,8000,10000,9000,17
Uttar Pradesh,Etah,Aliganj,Maize,Hybrid,FAQ,26/01/2024,2050,2055,2051,4
Uttar Pradesh,Farukhabad,Farukhabad,Maize,Hybrid,FAQ,26/01/2024,2050,2125,2100,4
Uttrakhand,Dehradoon,Rishikesh,Banana,Other,Small,26/01/2024,1400,2100,1800,19
Uttar Pradesh,Etah,Etah,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,26/01/2024,2200,2500,2300,28
Uttar Pradesh,Farukhabad,Kayamganj,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,26/01/2024,2180,2220,2200,28
Madhya Pradesh,Sagar,Deori,Potato,Local,FAQ,26/01/2024,650,700,650,24
Gujarat,Dahod,Dahod(Veg. Market),Coriander(Leaves),Coriander,FAQ,26/01/2024,1000,3000,2000,43
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Coriander(Leaves),Other,FAQ,26/01/2024,1800,2000,1900,43
Haryana,Ambala,Barara,Coriander(Leaves),Coriander,FAQ,26/01/2024,1600,2000,1600,43
Uttar Pradesh,Kanpur Dehat,Pukharayan,Banana,Banana - Ripe,Medium,26/01/2024,2500,2540,2520,19
Kerala,Kottayam,Pala,Potato,Potato,FAQ,26/01/2024,3500,4400,4000,24
Kerala,Kottayam,Pampady,Potato,Other,FAQ,26/01/2024,2700,3100,2900,24
Kerala,Kozhikode(Calicut),Kallachi,Potato,Other,FAQ,26/01/2024,2500,2900,2700,24
Kerala,Thiruvananthapuram,Chala,Potato,Other,FAQ,26/01/2024,3200,3300,3200,24
