State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Madhya Pradesh,Raisen,Silvani,Bengal Gram(Gram)(Whole),Desi (F.A.Q. Split),FAQ,26/06/2024,6065,6555,6555,6
Madhya Pradesh,Chhatarpur,Naugaon,Mustard,Mustard,FAQ,26/06/2024,5000,5100,5100,12
Madhya Pradesh,Chhatarpur,Chhatarpur,Groundnut,Big (With Shell),FAQ,26/06/2024,4800,4825,4825,10
Madhya Pradesh,Jabalpur,Jabalpur,Wheat,Mill Quality,FAQ,26/06/2024,2200,2460,2443,1
Madhya Pradesh,Jhabua,Thandla,Wheat,Lokwan,FAQ,26/06/2024,2310,2315,2310,1
Madhya Pradesh,Datia,Bhander,Wheat,Other,FAQ,26/06/2024,2505,2675,2640,1
Madhya Pradesh,Indore,Indore,Garlic,Garlic,FAQ,26/06/2024,1000,21300,8000,25
Madhya Pradesh,Mandsaur,Piplya,Garlic,Garlic,FAQ,26/06/2024,1000,21500,6000,25
Madhya Pradesh,Bhind,Gohad,Wheat,Mill Quality,FAQ,26/06/2024,2300,2470,2470,1
Madhya Pradesh,Jhabua,Thandla,Wheat,Mill Quality,FAQ,26/06/2024,2350,2350,2310,1
Madhya Pradesh,Khandwa,Khandwa,Wheat,Mill Quality,FAQ,26/06/2024,1701,2768,2493,1
Madhya Pradesh,Harda,Harda,Bengal Gram(Gram)(Whole),Desi (F.A.Q. Split),FAQ,26/06/2024,1301,7600,6350,6
Madhya Pradesh,Rewa,Chaakghat,Wheat,Mill Quality,FAQ,26/06/2024,2375,2375,2375,1
Madhya Pradesh,Neemuch,Neemuch,Wheat,Lokwan,FAQ,26/06/2024,2624,2624,2592,1
Uttar Pradesh,Etah,Etah,Wheat,Dara,FAQ,26/06/2024,2000,2360,2350,1
Madhya Pradesh,Morena,Sabalgarh,Mustard,Mustard,FAQ,26/06/2024,5520,5600,5570,12
Madhya Pradesh,Betul,Betul,Soyabean,Soybean-Organic,FAQ,26/06/2024,4331,4391,4351,13
Madhya Pradesh,Damoh,Damoh,Soyabean,Soyabeen,FAQ,26/06/2024,2900,4305,4100,13
Madhya Pradesh,Damoh,Patharia,Soyabean,Soyabeen,FAQ,26/06/2024,3880,4460,4460,13
Madhya Pradesh,Sheopur,Sheopurkalan,Mustard,Mustard,FAQ,26/06/2024,5300,5595,5585,12
Madhya Pradesh,Vidisha,Ganjbasoda,Mustard,Mustard-Organic,FAQ,26/06/2024,5440,5440,5100,12
Madhya Pradesh,Guna,Raghogarh,Soyabean,Soyabeen,FAQ,26/06/2024,4330,4330,4330,13
Madhya Pradesh,Harda,Sirali,Soyabean,Soyabeen,FAQ,26/06/2024,4200,4200,4200,13
Madhya Pradesh,Indore,Indore,Soyabean,Soyabeen,FAQ,26/06/2024,4200,4665,4200,13
Madhya Pradesh,Indore,Indore(F&V),Soyabean,Soyabeen,FAQ,26/06/2024,1905,4499,4400,13
Madhya Pradesh,Khargone,Khargone,Soyabean,Soyabeen,FAQ,26/06/2024,3963,4340,4340,13
Madhya Pradesh,Mandsaur,Sitmau,Soyabean,Soyabeen,FAQ,26/06/2024,3700,4365,4374,13
Madhya Pradesh,Ratlam,A lot,Soyabean,Soyabeen,FAQ,26/06/2024,4102,4559,4339,13
Madhya Pradesh,Ratlam,Sailana,Soyabean,Soyabeen,FAQ,26/06/2024,3785,4700,4400,13
Madhya Pradesh,Sagar,Banda,Soyabean,Soyabeen,FAQ,26/06/2024,4200,4315,4315,13
Madhya Pradesh,Sehore,Jawar,Soyabean,Soyabeen,FAQ,26/06/2024,3605,4542,4530,13
Madhya Pradesh,Shajapur,Nalkehda,Soyabean,Yellow,FAQ,26/06/2024,3001,4589,4380,13
Madhya Pradesh,Guna,Binaganj,Coriander(Leaves),Coriander,FAQ,26/06/2024,6700,7300,7300,43
Madhya Pradesh,Ratlam,Jaora,Wheat,Lokwan,FAQ,26/06/2024,2500,2860,2695,1
Madhya Pradesh,Sagar,Rahatgarh,Wheat,Mill Quality,FAQ,26/06/2024,2386,2511,2430,1
West Bengal,Purba Bardhaman,Kalna,Potato,Jyoti,FAQ,26/06/2024,2670,2700,2680,24
Madhya Pradesh,Chhindwara,Chhindwara,Arhar (Tur/Red Gram)(Whole),Arhar Dal(Tur),FAQ,26/06/2024,9280,9280,9280,49
Madhya Pradesh,Khargone,Bhikangaon,Arhar (Tur/Red Gram)(Whole),Arhar Dal(Tur),FAQ,26/06/2024,7000,7000,7000,49
Madhya Pradesh,Damoh,Patharia,Lentil (Masur)(Whole),Masur Dal,FAQ,26/06/2024,5830,6110,6005,63
Uttar Pradesh,Farukhabad,Mohamadabad,Banana,Banana - Ripe,Medium,26/06/2024,2900,3100,3000,19
Jammu and Kashmir,Srinagar,Parimpore,Onion,Nasik,FAQ,26/06/2024,3500,3800,3650,23
Karnataka,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,26/06/2024,1000,1500,1300,23
Karnataka,Davangere,Davangere,Onion,Onion,FAQ,26/06/2024,500,3200,1900,23
Karnataka,Kolar,Gowribidanoor,Onion,Onion,FAQ,26/06/2024,2000,3000,2500,23
Kerala,Ernakulam,Aluva,Onion,Big,FAQ,26/06/2024,3600,4000,3800,23
Kerala,Kasargod,Kanjangadu,Onion,Big,FAQ,26/06/2024,3500,4000,3700,23
Uttar Pradesh,Ballia,Ballia,Garlic,Garlic,FAQ,26/06/2024,10170,10240,10200,25
Uttar Pradesh,Ballia,Rasda,Garlic,Average,FAQ,26/06/2024,10080,10230,10160,25
Uttar Pradesh,Banda,Atarra,Garlic,Average,FAQ,26/06/2024,9625,9825,9725,25
Uttar Pradesh,Barabanki,Safdarganj,Garlic,Average,FAQ,26/06/2024,10400,10480,10450,25
Uttar Pradesh,Etah,Etah,Garlic,Garlic,FAQ,26/06/2024,8500,9500,8550,25
Uttar Pradesh,Etawah,Bharthna,Garlic,Garlic,FAQ,26/06/2024,11150,11650,11450,25
Uttar Pradesh,Etawah,Jasvantnagar,Garlic,Garlic,FAQ,26/06/2024,11460,11560,11510,25
Uttar Pradesh,Gorakhpur,Gorakhpur,Garlic,Garlic,FAQ,26/06/2024,10050,10275,10150,25
Uttar Pradesh,Kaushambi,Bharwari,Garlic,Average,FAQ,26/06/2024,9390,9600,9500,25
Uttar Pradesh,Gonda,Gonda,Banana,Banana - Ripe,Medium,26/06/2024,3000,3400,3150,19
Uttar Pradesh,Hardoi,Hardoi,Banana,Banana - Ripe,Medium,26/06/2024,2860,2950,2900,19
Uttar Pradesh,Jhansi,Mauranipur,Banana,Banana - Ripe,Medium,26/06/2024,2000,2250,2180,19
Uttar Pradesh,Khiri (Lakhimpur),Tikonia,Banana,Amruthapani,Medium,26/06/2024,2710,2765,2740,19
Uttar Pradesh,Mainpuri,Ghiraur,Banana,Banana - Ripe,Medium,26/06/2024,2240,2440,2340,19
Uttar Pradesh,Lakhimpur,Golagokarnath,Garlic,Garlic,FAQ,26/06/2024,10150,10300,10220,25
Uttar Pradesh,Lakhimpur,Lakhimpur,Garlic,Desi,FAQ,26/06/2024,10100,10270,10230,25
Uttar Pradesh,Mirzapur,Mirzapur,Garlic,Desi,FAQ,26/06/2024,10275,10375,10345,25
Uttar Pradesh,Raebarelli,Raibareilly,Garlic,Garlic,FAQ,26/06/2024,10900,11000,10950,25
Kerala,Kottayam,Thalayolaparambu,Onion,Big,FAQ,26/06/2024,3500,4000,3800,23
Kerala,Kozhikode(Calicut),Thamarassery,Onion,Other,FAQ,26/06/2024,3300,3700,3500,23
Kerala,Palakad,Koduvayoor,Onion,Big,FAQ,26/06/2024,4000,4400,4200,23
Kerala,Palakad,Koduvayoor,Onion,Small,FAQ,26/06/2024,6500,6900,6700,23
Kerala,Palakad,Pattambi,Onion,Small,FAQ,26/06/2024,6000,7000,6500,23
Kerala,Thiruvananthapuram,Pothencode,Onion,Other,FAQ,26/06/2024,26000,26080,26040,23
Kerala,Thiruvananthapuram,Vamanapuram,Onion,Other,FAQ,26/06/2024,4000,4200,4200,23
Uttrakhand,Dehradoon,Dehradoon,Banana,Other,Medium,26/06/2024,1000,1400,1200,19
Uttrakhand,UdhamSinghNagar,Rudrapur,Banana,Banana - Ripe,Medium,26/06/2024,2000,3000,2500,19
West Bengal,Darjeeling,Siliguri,Banana,Other,Large,26/06/2024,2300,2500,2400,19
Madhya Pradesh,Dhar,Badnawar,Onion,Medium,FAQ,26/06/2024,1900,1900,2200,23
Madhya Pradesh,Indore,Gautampura,Onion,Onion,FAQ,26/06/2024,250,2400,600,23
Madhya Pradesh,Indore,Indore,Onion,Other,FAQ,26/06/2024,717,2741,2734,23
Madhya Pradesh,Indore,Indore,Onion,White,FAQ,26/06/2024,2695,2695,2734,23
Madhya Pradesh,Rajgarh,Narsinghgarh,Onion,Onion,FAQ,26/06/2024,200,2980,2600,23
Madhya Pradesh,Ratlam,Jaora,Onion,Onion-Organic,FAQ,26/06/2024,540,540,2700,23
Madhya Pradesh,Ratlam,Sailana,Onion,Onion,FAQ,26/06/2024,2406,2601,1600,23
Madhya Pradesh,Sehore,Sehore,Onion,Onion,FAQ,26/06/2024,600,2811,2500,23
Madhya Pradesh,Shajapur,Akodiya,Onion,Big,FAQ,26/06/2024,615,2930,2600,23
Maharashtra,Ahmednagar,Parner,Onion,Other,FAQ,26/06/2024,1000,3100,2600,23
