State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Chattisgarh,Bilaspur,Bilaspur,Wheat,Local,FAQ,26/03/2024,2338,2338,2338,1
Haryana,Mahendragarh-Narnaul,Mohindergarh,Orange,Orange,Medium,26/03/2024,2500,3500,2500,18
Tamil Nadu,Thiruvannamalai,Thiruvannamalai,Paddy(Dhan)(Common),ADT 37,FAQ,26/03/2024,1580,1707,1658,2
Uttar Pradesh,Farukhabad,Kayamganj,Rice,III,FAQ,26/03/2024,2830,2880,2850,3
Chattisgarh,Raigarh,Sarangarh,Wheat,Deshi,FAQ,26/03/2024,1900,2000,1950,1
Himachal Pradesh,Mandi,Mandi(Mandi),Orange,Orange,Medium,26/03/2024,4500,7000,6500,18
Himachal Pradesh,Shimla,Shimla,Orange,Darjeeling,Medium,26/03/2024,5000,6000,5500,18
Himachal Pradesh,Una,Una,Orange,Nagpuri,Medium,26/03/2024,6000,7500,6800,18
Tamil Nadu,Vellore,Vellore,Paddy(Dhan)(Common),ADT 37,FAQ,26/03/2024,1923,1923,1923,2
Tamil Nadu,Villupuram,Avalurpet,Paddy(Dhan)(Common),ADT 37,FAQ,26/03/2024,1848,1973,1920,2
Tamil Nadu,Villupuram,Avalurpet,Paddy(Dhan)(Common),Other,FAQ,26/03/2024,2136,2713,2467,2
Tamil Nadu,Villupuram,Manalurpet,Paddy(Dhan)(Common),ADT 37,FAQ,26/03/2024,1799,1903,1873,2
Gujarat,Anand,Khambhat(Grain Market),Wheat,Other,FAQ,26/03/2024,2250,3000,2625,1
NCT of Delhi,Delhi,Azadpur,Orange,Orange,Large,26/03/2024,1000,6500,3619,18
Punjab,Fatehgarh,Sirhind,Orange,Other,Medium,26/03/2024,3500,4500,4000,18
Maharashtra,Hingoli,Hingoli(Kanegoan Naka),Soyabean,Yellow,FAQ,26/03/2024,4200,4300,4250,13
Maharashtra,Jalana,Jalana,Soyabean,Yellow,FAQ,26/03/2024,4150,4360,4325,13
Maharashtra,Jalgaon,Chalisgaon,Soyabean,Yellow,FAQ,26/03/2024,4000,4311,4272,13
Maharashtra,Jalgaon,Jalgaon,Soyabean,Other,FAQ,26/03/2024,4175,4175,4175,13
Maharashtra,Jalgaon,Pachora,Soyabean,Other,FAQ,26/03/2024,4200,4235,4225,13
Tamil Nadu,Villupuram,Thirukovilur,Paddy(Dhan)(Common),ADT 39,FAQ,26/03/2024,1861,1973,1861,2
Tamil Nadu,Villupuram,Thirukovilur,Paddy(Dhan)(Common),ADT 43,FAQ,26/03/2024,1855,1972,1855,2
Tamil Nadu,Villupuram,Thiryagadurgam,Paddy(Dhan)(Common),ADT 37,FAQ,26/03/2024,1799,1879,1825,2
Tamil Nadu,Villupuram,Thiryagadurgam,Paddy(Dhan)(Common),Other,FAQ,26/03/2024,2001,2015,2008,2
Himachal Pradesh,Kangra,Kangra,Apple,Other,Medium,26/03/2024,12000,18000,15000,17
Punjab,Patiala,Patran,Orange,Darjeeling,Medium,26/03/2024,4000,4200,4120,18
Maharashtra,Nashik,Lasalgaon(Vinchur),Soyabean,Other,FAQ,26/03/2024,3000,4340,4300,13
Maharashtra,Nashik,Malegaon,Soyabean,Yellow,FAQ,26/03/2024,4279,4279,4279,13
Telangana,Ranga Reddy,Pargi,Maize,Hybrid/Local,FAQ,26/03/2024,2200,2200,2200,4
Uttar Pradesh,Amethi,Sultanpur,Orange,Orange,Medium,26/03/2024,3170,3380,3270,18
