State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Haryana,Karnal,"New Grain Market(main), Karnal",Apple,Other,Large,26/05/2024,4000,12000,8000,17
Madhya Pradesh,Rajgarh,Suthalia,Soyabean,Yellow,FAQ,26/05/2024,4200,4250,4200,13
Maharashtra,Ahmednagar,Karjat,Jowar(Sorghum),Other,FAQ,26/05/2024,3400,4000,3400,5
Madhya Pradesh,Shajapur,Berachha,Soyabean,Soyabeen,FAQ,26/05/2024,3800,4600,4000,13
Maharashtra,Buldhana,Buldhana(Dhad),Jowar(Sorghum),Other,FAQ,26/05/2024,1500,2000,1800,5
Punjab,Nawanshahr,Banga,Apple,Apple,Medium,26/05/2024,6217,8667,7008,17
Madhya Pradesh,Mandsaur,Mandsaur,Maize,Local,FAQ,26/05/2024,2229,2229,2229,4
Uttar Pradesh,Amroha,Hasanpur,Apple,Delicious,Medium,26/05/2024,3210,4000,3450,17
Uttar Pradesh,Bahraich,Bahraich,Apple,Kasmir/Shimla - II,Medium,26/05/2024,8500,8800,8620,17
Uttar Pradesh,Bareilly,Bahedi,Apple,Other,Medium,26/05/2024,4710,4755,4730,17
Kerala,Malappuram,Manjeri,Bengal Gram(Gram)(Whole),Bold,FAQ,26/05/2024,7500,7600,7550,6
Uttar Pradesh,Bareilly,Bareilly,Apple,Apple,Medium,26/05/2024,8475,8525,8500,17
Uttar Pradesh,Farukhabad,Mohamadabad,Apple,Apple,Medium,26/05/2024,8450,8650,8550,17
Uttar Pradesh,Fatehpur,Khaga,Apple,Kasmir/Shimla - II,Medium,26/05/2024,8500,8740,8600,17
Uttar Pradesh,Kanpur,Varipaal,Jowar(Sorghum),Jowar ( White),FAQ,26/05/2024,3500,3560,3540,5
Uttar Pradesh,Gonda,Gonda,Apple,Delicious,Medium,26/05/2024,8600,9000,8700,17
Uttar Pradesh,Jalaun (Orai),Konch,Apple,Delicious,Medium,26/05/2024,8450,8550,8500,17
Uttar Pradesh,Jhansi,Jhansi,Apple,Apple,Medium,26/05/2024,8780,8830,8800,17
Uttar Pradesh,Jhansi,Mauranipur,Apple,Kasmir/Shimla - II,Medium,26/05/2024,8550,8800,8700,17
Uttar Pradesh,Kanpur Dehat,Rura,Apple,Delicious,Medium,26/05/2024,7000,7300,7100,17
